17:52:31 | INFO     | Conexion Binance establecida.
17:52:31 | INFO     | Conectando a Binance...
17:52:32 | INFO     | Conexion Binance establecida.
17:52:32 | INFO     | Conectando a Binance...
17:52:33 | INFO     | Conexion Binance establecida.
17:52:40 | WARNING  | Key ...8Df81A en cooldown por 65s
17:52:40 | WARNING  | Todas las keys en cooldown. La proxima disponible en 65s
17:52:43 | INFO     | Conectando a Binance...
17:52:44 | INFO     | Conexion Binance establecida.
17:52:44 | INFO     | Conectando a Binance...
17:52:45 | INFO     | Conexion Binance establecida.
17:52:45 | INFO     | Conectando a Binance...
17:52:46 | INFO     | Conexion Binance establecida.
17:52:46 | INFO     | Conectando a Binance...
17:52:47 | INFO     | Conexion Binance establecida.
17:52:47 | INFO     | Conectando a Binance...
17:52:48 | INFO     | Conexion Binance establecida.
17:52:58 | INFO     | Conectando a Binance...
17:52:59 | INFO     | Conexion Binance establecida.
17:52:59 | INFO     | Conectando a Binance...
17:53:00 | INFO     | Conexion Binance establecida.
17:53:00 | INFO     | Conectando a Binance...
17:53:01 | INFO     | Conexion Binance establecida.
17:53:01 | INFO     | Conectando a Binance...
17:53:02 | INFO     | Conexion Binance establecida.
17:53:02 | INFO     | Conectando a Binance...
17:53:03 | INFO     | Conexion Binance establecida.
17:53:04 | INFO     | Conectando a Binance...
17:53:04 | INFO     | Conexion Binance establecida.
17:53:15 | INFO     | Conectando a Binance...
17:53:16 | INFO     | Conexion Binance establecida.
17:53:16 | INFO     | Conectando a Binance...
17:53:16 | INFO     | Conexion Binance establecida.
17:53:17 | INFO     | Conectando a Binance...
17:53:17 | INFO     | Conexion Binance establecida.
17:53:18 | INFO     | Conectando a Binance...
17:53:18 | INFO     | Conexion Binance establecida.
17:53:19 | INFO     | Conectando a Binance...
17:53:19 | INFO     | Conexion Binance establecida.
17:53:30 | INFO     | Conectando a Binance...
17:53:30 | INFO     | Conexion Binance establecida.
17:53:31 | INFO     | Conectando a Binance...
17:53:31 | INFO     | Conexion Binance establecida.
17:53:31 | INFO     | Conectando a Binance...
17:53:32 | INFO     | Conexion Binance establecida.
17:53:32 | INFO     | Conectando a Binance...
17:53:33 | INFO     | Conexion Binance establecida.
17:53:33 | INFO     | Conectando a Binance...
17:53:34 | INFO     | Conexion Binance establecida.
17:53:34 | INFO     | Conectando a Binance...
17:53:35 | INFO     | Conexion Binance establecida.
17:53:40 | WARNING  | Todas las keys en cooldown. La proxima disponible en 6s
17:53:45 | INFO     | Conectando a Binance...
17:53:46 | INFO     | Conexion Binance establecida.
17:53:46 | INFO     | Conectando a Binance...
17:53:47 | INFO     | Conexion Binance establecida.
